,Symbol,StartClose,EndClose,PercentInClose
11,MEGA,213.0,214.0,0.4694835680751174
25,SRBL,234.0,233.0,-0.4273504273504274
2,CBL,140.0,138.0,-1.4285714285714286
22,SBI,419.0,412.0,-1.6706443914081146
10,MBL,222.0,215.0,-3.153153153153153
21,SANIMA,335.0,324.0,-3.2835820895522385
3,CCBL,165.0,159.0,-3.6363636363636362
0,ADBL,382.0,368.0,-3.664921465968586
23,SBL,300.0,289.0,-3.6666666666666665
16,NIB,388.0,373.0,-3.865979381443299
13,NBB,205.0,197.0,-3.902439024390244
17,NICA,518.0,496.0,-4.247104247104247
20,PRVU,235.0,225.0,-4.25531914893617
15,NCCB,186.0,178.0,-4.301075268817205
4,CZBIL,190.0,180.0,-5.263157894736842
1,BOKL,231.0,218.0,-5.627705627705628
14,NBL,266.0,251.0,-5.639097744360902
24,SCB,627.0,590.0,-5.901116427432217
9,LBL,213.0,200.0,-6.103286384976526
5,EBL,652.0,612.0,-6.134969325153374
12,NABIL,750.0,701.0,-6.533333333333332
6,GBIME,266.0,248.0,-6.7669172932330826
8,KBL,193.0,177.0,-8.290155440414509
7,HBL,549.0,500.0,-8.925318761384334
18,NMB,414.0,377.0,-8.937198067632849
19,PCBL,278.0,252.0,-9.352517985611511
