,Symbol,StartClose,EndClose,PercentInClose
8,MDB,455,454,-0.21978021978021978
15,TMDBL,200,194,-3.0
9,MLBL,226,219,-3.0973451327433628
6,KSBBL,173,167,-3.4682080924855487
4,JBBL,198,191,-3.535353535353535
1,EDBL,405,390,-3.7037037037037033
2,GBBL,255,245,-3.9215686274509802
3,GRDBL,129,123,-4.651162790697675
0,CORBL,133,126,-5.263157894736842
12,SAPDBL,151,143,-5.298013245033113
13,SHINE,316,299,-5.379746835443038
11,SADBL,176,166,-5.681818181818182
10,MNBBL,362,339,-6.353591160220995
5,KRBL,117,109,-6.837606837606838
7,LBBL,206,191,-7.281553398058252
14,SINDU,144,132,-8.333333333333332
