,Symbol,StartClose,EndClose,PercentInClose
0,BFC,104,100.0,-3.8461538461538463
1,CFCL,138,134.0,-2.898550724637681
2,GFCL,158,155.0,-1.89873417721519
3,GMFIL,139,139.0,0.0
4,GUFL,130,128.0,-1.5384615384615385
5,ICFC,188,182.0,-3.1914893617021276
6,JFL,175,172.0,-1.7142857142857144
7,MFIL,319,288.0,-9.717868338557993
8,MPFL,127,121.0,-4.724409448818897
9,NFS,151,155.0,2.6490066225165565
10,PFL,164,140.0,-14.634146341463413
11,PROFL,108,155.0,43.51851851851852
12,RLFL,146,182.0,24.65753424657534
13,SFCL,102,,
14,SIFC,161,,
15,UFL,185,,
